3,30000,50
3,76800,60
3,408320,126
3,1920000,384
3,2795520,674
3,12579840,1975
3,16613376,2619
3,43006005,7418
3,80000000,15846
3,105386886,16473
3,121243574,18493

5,30000,41
5,76800,50
5,408320,135
5,1920000,370
5,2795520,607
5,12579840,2078
5,16613376,2792
5,43006005,7906
5,80000000,14337
5,105386886,17114
5,121243574,18457

7,30000,43
7,76800,53
7,408320,131
7,1920000,393
7,2795520,622
7,12579840,2129
7,16613376,2947
7,43006005,8614
7,80000000,16247
7,105386886,18915
7,121243574,19883

9,30000,49
9,76800,48
9,408320,109
9,1920000,358
9,2795520,641
9,12579840,2171
9,16613376,2805
9,43006005,7562
9,80000000,16511
9,105386886,18258
9,121243574,20547
